zona_censal_residencia;n;criterio
13101021001;1;No
13101021003;1;No
13101021006;1;No
13101021007;1;No
13101031003;1;No
13101031005;1;No
13101031006;1;No
13101031007;1;No
13101101004;1;No
13101101005;1;No
13101111002;1;No
13101111005;1;No
13101111010;1;No
13101111011;1;No
13101111016;1;No
13101131004;1;No
13101131009;1;No
13101281004;1;No
13101291001;1;No
13102011003;1;No
13102011004;1;No
13104071003;1;No
13106051002;1;No
13106051003;1;No
13106101005;1;No
13106131004;1;No
13108051004;1;No
13108071001;1;No
13110061001;1;No
13112051004;1;No
13114131002;1;No
13115021004;1;No
13118021005;1;No
13119051003;1;No
13119072006;1;No
13119231003;1;No
13120011005;1;No
13120061003;1;No
13123031006;1;No
13123031007;1;No
13123081001;1;No
13123081002;1;No
13123081004;1;No
13124062901;1;No
13124082010;1;No
13124082017;1;No
13125011007;1;No
13125031001;1;No
13126021006;1;No
13127031002;1;No
13127101002;1;No
13129071004;1;No
13130041002;1;No
13201021006;1;No
13201021007;1;No
13201041006;1;No
13201161010;1;No
13202012005;1;No
13202022007;1;No
13202022014;1;No
13301011006;1;No
13301031003;1;No
13301032013;1;No
13301061008;1;No
13302031005;1;No
13302032001;1;No
13401082002;1;No
13401082003;1;No
13401112015;1;No
13401122019;1;No
13402032004;1;No
13403021002;1;No
13403022014;1;No
13403032007;1;No
13404051001;1;No
13404062039;1;No
13501141005;1;No
13601012017;1;No
13601031003;1;No
13601032017;1;No
13602011007;1;No
13603011002;1;No
13603021001;1;No
13604042001;1;No
13605012002;1;No
13605022006;1;No
13101011001;2;No
13101011002;2;No
13101011003;2;No
13101011004;2;No
13101021002;2;No
13101021004;2;No
13101021005;2;No
13101101002;2;No
13101111001;2;No
13101111007;2;No
13101111008;2;No
13101111012;2;No
13101111019;2;No
13101121002;2;No
13101121005;2;No
13101121008;2;No
13101131001;2;No
13101131006;2;No
13101131008;2;No
13101221001;2;No
13105011003;2;No
13106011001;2;No
13107011007;2;No
13108031001;2;No
13111051003;2;No
13112011001;2;No
13113061003;2;No
13114011006;2;No
13114011007;2;No
13114131003;2;No
13114131009;2;No
13119051008;2;No
13119191005;2;No
13120021004;2;No
13120041001;2;No
13120081001;2;No
13122051003;2;No
13123031009;2;No
13123041008;2;No
13123061002;2;No
13123061004;2;No
13123081003;2;No
13125021009;2;No
13126031001;2;No
13126031003;2;No
