manzana_censal_residencia;n;criterio
13113021002005;32;Sí
13113051003002;24;Sí
13201081004004;23;Sí
13114041002005;21;Sí
13114101001001;20;No
13123021001001;16;No
13118011001001;15;No
13119021006037;15;No
13120041004001;15;No
13103021001029;13;No
13114051002012;13;No
13114141003014;13;No
13123021004001;13;No
13114051004028;12;No
13114111002009;12;No
13114151001001;12;No
13114151001003;12;No
13115011002500;12;No
13120111007001;12;No
13128071004005;12;No
13120011006001;11;No
13122051004018;11;No
13201171006036;11;No
13605021001002;11;No
13101141001013;10;No
13106061003001;10;No
13106141001001;10;No
13110171004002;10;No
13110171006019;10;No
13113061001007;10;No
13113061002001;10;No
13114091003022;10;No
13122031010001;10;No
13122091002003;10;No
13123011008501;10;No
13123051001011;10;No
13124021001901;10;No
13201171007028;10;No
13201191012001;10;No
13107011008500;9;No
13107011010019;9;No
13110061005005;9;No
13111081003013;9;No
13114151001056;9;No
13117061002001;9;No
13119201006001;9;No
13122031005018;9;No
13122031005500;9;No
13122031007015;9;No
13132041008019;9;No
13201061002031;9;No
13201141003042;9;No
13101091002001;8;No
13101091003003;8;No
13101151002006;8;No
13110021006500;8;No
13110111001008;8;No
13110111003003;8;No
13110131003001;8;No
13110161003027;8;No
13111081003500;8;No
13112021004001;8;No
13114071004030;8;No
13114081004015;8;No
13114121007002;8;No
13115011007004;8;No
13119071012001;8;No
13120011002015;8;No
13120051003001;8;No
13120071007005;8;No
13120101002003;8;No
13123061003015;8;No
13127111005014;8;No
13128071004006;8;No
13132021002005;8;No
13132031002036;8;No
13201051002009;8;No
13201051008008;8;No
13201081005014;8;No
13201081007001;8;No
13201181003005;8;No
13201191005001;8;No
13401101005037;8;No
13602011008043;8;No
13605021008001;8;No
13101081001005;7;No
13102041004003;7;No
13105071002001;7;No
13105081005018;7;No
13107011003007;7;No
13107011005016;7;No
13108021003002;7;No
13108051005003;7;No
13109021005005;7;No
13110111005007;7;No
13111071001021;7;No
13113061002002;7;No
13113071001001;7;No
13114071003012;7;No
13114091004001;7;No
13114111003016;7;No
13114111005003;7;No
13114141002030;7;No
13114151003047;7;No
13115011003001;7;No
13115041003013;7;No
13116051001014;7;No
13118021002901;7;No
13118021003012;7;No
13118031001033;7;No
13119211001001;7;No
13120021001001;7;No
13120061001028;7;No
13120091002001;7;No
13120101007038;7;No
13122031004003;7;No
13122111002013;7;No
13123051002007;7;No
13124051001901;7;No
13124051003025;7;No
13124061007009;7;No
13125011002002;7;No
13125041013001;7;No
13130061001034;7;No
13201071001021;7;No
13201111003030;7;No
13201141008005;7;No
13201171004026;7;No
13201171007019;7;No
13201181007001;7;No
13201191012036;7;No
13401101006009;7;No
13402011010001;7;No
13402021002011;7;No
13501141001010;7;No
13601041005004;7;No
13103021001001;6;No
13103071002029;6;No
13104091001010;6;No
13104101001014;6;No
13105011002012;6;No
13105081002001;6;No
13106061004012;6;No
13106081006002;6;No
13107011002037;6;No
13107011008001;6;No
13108021003001;6;No
13109031001013;6;No
13109031002007;6;No
13110011005001;6;No
13110031002001;6;No
13110061002023;6;No
13110081003037;6;No
13110161004042;6;No
13110171003029;6;No
13110171005012;6;No
13110211004008;6;No
13112051003003;6;No
13112081001901;6;No
13113041003001;6;No
13113051002502;6;No
13113061001005;6;No
13113061002004;6;No
13113061002006;6;No
13113071005049;6;No
13114011001901;6;No
13114011005001;6;No
13114041003014;6;No
13114081003007;6;No
13114121003002;6;No
13114141001034;6;No
13114161002009;6;No
13114161004008;6;No
13115011001007;6;No
13115011004007;6;No
13115011006005;6;No
13115041004011;6;No
13115041004014;6;No
13116011001007;6;No
13117021003004;6;No
13117041003024;6;No
13118021007009;6;No
13118031002001;6;No
13119061001014;6;No
13119071011006;6;No
13119091001029;6;No
13119171004012;6;No
13119201003008;6;No
13119201004049;6;No
13120011004001;6;No
13120011006005;6;No
13120011007004;6;No
13120051004005;6;No
13122021001005;6;No
13122031003015;6;No
13122091002500;6;No
13123071001011;6;No
13124061002023;6;No
13124061010017;6;No
13125021018001;6;No
13125041002027;6;No
13125041006500;6;No
13125041009500;6;No
13127041002500;6;No
13130061004003;6;No
13132031002016;6;No
13132041005006;6;No
13132041007002;6;No
13201011006001;6;No
13201031007047;6;No
13201051006008;6;No
13201051009001;6;No
13201081003041;6;No
13201081004010;6;No
13201081006004;6;No
13201171005029;6;No
13201191004008;6;No
13201191008045;6;No
13401061006014;6;No
13401061012021;6;No
13402041001500;6;No
13402051001002;6;No
13402051001017;6;No
13404032025119;6;No
13503061001013;6;No
13605011004011;6;No
13605031006001;6;No
13101041002001;5;No
13101041003001;5;No
13101111014001;5;No
13101111018002;5;No
13101151001012;5;No
13102031003024;5;No
13103041003007;5;No
13104051006019;5;No
13104051006901;5;No
13104091001002;5;No
13105031002013;5;No
13105051003003;5;No
13105071002006;5;No
13105071003004;5;No
13105071005003;5;No
13105081003020;5;No
13105091002004;5;No
13106101004022;5;No
13107011004038;5;No
13107011006017;5;No
13109011002004;5;No
13109011003012;5;No
13110031005004;5;No
13110041001018;5;No
13110061003035;5;No
13110061004006;5;No
13110061004008;5;No
13110061005007;5;No
13110081004008;5;No
13110091004006;5;No
13110091005032;5;No
13110101001004;5;No
13110101003011;5;No
13110101004013;5;No
13110101005028;5;No
13110111005009;5;No
13110121002016;5;No
13110191002015;5;No
13110211002009;5;No
13111051004027;5;No
13111061001009;5;No
13111081004001;5;No
13111081004005;5;No
13112051006022;5;No
13112081009012;5;No
13113041001006;5;No
13113051002501;5;No
13113051003008;5;No
13113051003901;5;No
13113061001008;5;No
13113071004502;5;No
13114041001003;5;No
13114041003005;5;No
13114071001501;5;No
13114071002038;5;No
13114081005001;5;No
13114101003003;5;No
13114101003004;5;No
13114111001009;5;No
13114111006008;5;No
13114151001051;5;No
13114161003012;5;No
13114161004010;5;No
13115011001004;5;No
13116041001003;5;No
13117021001001;5;No
13118061003006;5;No
13119021003005;5;No
13119061001011;5;No
13119071001002;5;No
13119071003017;5;No
13119071003500;5;No
13119071012011;5;No
13119091001022;5;No
13119141002023;5;No
13119171001065;5;No
13119191009010;5;No
13119211003042;5;No
13120021001002;5;No
13120041002500;5;No
13120041003025;5;No
13120051002022;5;No
13120061002002;5;No
13120071001001;5;No
13120071004002;5;No
13121041001031;5;No
13122031006038;5;No
13122091003005;5;No
13122111001004;5;No
13122111005045;5;No
13123031010005;5;No
13123071001002;5;No
13124061007021;5;No
13124061014001;5;No
13125011001029;5;No
13125011001031;5;No
13125011002500;5;No
13125021003047;5;No
13125021007500;5;No
13125021010018;5;No
13125021017002;5;No
13125041005035;5;No
13126051002004;5;No
13126081003001;5;No
13127021002017;5;No
13127071002027;5;No
13127111002018;5;No
13128071001001;5;No
13128071003008;5;No
13128081004009;5;No
13128091004005;5;No
13129031003022;5;No
13129051001007;5;No
13130031001003;5;No
13130061002002;5;No
13131031002021;5;No
13131051003010;5;No
13132011005005;5;No
13132031002021;5;No
13132031002501;5;No
13132041002001;5;No
13132051001038;5;No
13201031001013;5;No
13201051007004;5;No
13201051010013;5;No
13201081001026;5;No
13201081008017;5;No
13201091003027;5;No
13201111001022;5;No
13201151001014;5;No
13201161003038;5;No
13201161007005;5;No
13201161007007;5;No
13201171004025;5;No
13301011001002;5;No
13301011003020;5;No
13301011004030;5;No
13302041001013;5;No
13401061015001;5;No
13401081003901;5;No
13401081006017;5;No
13401101001007;5;No
13401111004016;5;No
13401141004005;5;No
13403051002001;5;No
13404012032154;5;No
13602011002506;5;No
13602011005023;5;No
13605011002010;5;No
13605021006010;5;No
13101041003003;4;No
13101071001010;4;No
13101081001002;4;No
13101081003012;4;No
13101111017003;4;No
13101181001013;4;No
13101271003008;4;No
13102041001008;4;No
13102041003020;4;No
13102041006001;4;No
13103011003010;4;No
13103011005052;4;No
13103021001005;4;No
13103021001025;4;No
13103041003001;4;No
13103051002045;4;No
13103061003001;4;No
13103061003004;4;No
13103071002014;4;No
13104011003006;4;No
13104041002021;4;No
13104051002019;4;No
13104101002021;4;No
13105021003005;4;No
13105031001022;4;No
13105061004037;4;No
13105071005005;4;No
13105091003016;4;No
13106081001001;4;No
13106081003002;4;No
13106101001026;4;No
13106131002010;4;No
13107011004031;4;No
13107041003001;4;No
13108021002002;4;No
13108061002002;4;No
13109011001018;4;No
13109011002003;4;No
13109021001005;4;No
13109021003026;4;No
13110011003003;4;No
13110021001001;4;No
13110031003020;4;No
13110031004016;4;No
13110041002006;4;No
13110061002038;4;No
13110061004001;4;No
13110071005002;4;No
13110081001034;4;No
13110081003001;4;No
13110081003016;4;No
13110081004013;4;No
13110091005041;4;No
13110101002006;4;No
13110101004002;4;No
13110101005027;4;No
13110101005033;4;No
13110111001004;4;No
13110111002017;4;No
13110111002018;4;No
13110111005011;4;No
