ïagno;rbd;dgv_rbd;nom_rbd;let_rbd;num_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2004;1;9;LICEO POLITECNICO ARICA;A;2;1201;ARICA;2;0;510;561;610;661;;;;;
2004;2;7;PARVULARIO LAS ESPIGUITAS;E;30;1201;ARICA;2;0;10;;;;;;;;
2004;3;5;ESCUELA PEDRO VICENTE GUTIERREZ TORRES;E;93;1201;ARICA;2;0;163;;;;;;;;
2004;4;3;LICEO OCTAVIO PALMA PEREZ;A;1;1201;ARICA;2;0;310;;;;;;;;
2004;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1201;ARICA;2;0;10;110;310;360;361;;;;
2004;7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;1201;ARICA;2;0;410;510;610;;;;;;
2004;8;6;COLEGIO INT. EDUARDO FREI MONTALVA;D;2;1201;ARICA;2;0;10;110;310;;;;;;
2004;9;4;ESCUELA REPUBLICA DE ISRAEL;D;4;1201;ARICA;2;0;10;110;;;;;;;
2004;10;8;ESCUELA  REPUBLICA DE FRANCIA;D;6;1201;ARICA;2;0;10;110;;;;;;;
2004;11;6;ESCUELA GRAL. PEDRO LAGOS MARCHANT;D;7;1201;ARICA;2;0;10;110;;;;;;;
2004;12;4;ESCUELA GRAL. JOSE MIGUEL CARRERA;D;10;1201;ARICA;2;0;10;110;;;;;;;
2004;13;2;ESCUELA  MANUEL RODRIGUEZ ERDOYZA;D;11;1201;ARICA;2;0;10;110;;;;;;;
2004;14;0;ESCUELA ROMULO J. PENA MATURANA;D;12;1201;ARICA;2;0;10;110;;;;;;;
2004;15;9;LICEO ARTISTICO DR.  JUAN NOE CREVANI;D;13;1201;ARICA;2;0;10;110;310;;;;;;
2004;16;7;ESCUELA REGIMIENTO RANCAGUA;D;14;1201;ARICA;2;0;10;110;;;;;;;
2004;17;5;ESCUELA  SUBTTE. LUIS CRUZ MARTINEZ;D;16;1201;ARICA;2;0;10;110;;;;;;;
2004;18;3;ESCUELA CDMTE. JUAN JOSE SAN MARTIN;D;17;1201;ARICA;2;0;10;110;;;;;;;
2004;19;1;ESCUELA  HUMBERTO VALENZUELA GARCIA;D;18;1201;ARICA;2;0;10;110;;;;;;;
2004;20;5;ESCUELA  TUCAPEL;D;21;1201;ARICA;2;0;10;110;;;;;;;
2004;21;3;ESCUELA  LINCOYAN;D;23;1201;ARICA;2;0;10;110;;;;;;;
2004;22;1;ESCUELA GABRIELA MISTRAL;D;24;1201;ARICA;2;0;10;110;;;;;;;
2004;25;6;ESCUELA  CENTENARIO;D;91;1201;ARICA;2;0;10;110;;;;;;;
2004;26;4;ESCUELA  REPUBLICA ARGENTINA;E;1;1201;ARICA;2;0;10;110;;;;;;;
2004;27;2;ESCUELA  ESMERALDA;E;5;1201;ARICA;2;0;10;110;;;;;;;
2004;28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;1201;ARICA;2;0;10;110;160;361;;;;;
2004;29;9;ESCUELA AMERICA;E;26;1201;ARICA;2;0;10;110;;;;;;;
2004;30;2;ESCUELA DR.RICARDO OLEA GUERRA;F;22;1201;ARICA;2;0;211;212;215;216;;;;;
2004;31;0;ESCUELA  DARIO SALAS DIAZ;F;3;1201;ARICA;2;1;10;110;;;;;;;
2004;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;F;25;1201;ARICA;2;1;10;110;610;710;;;;;
2004;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;G;8;1201;ARICA;2;1;10;110;;;;;;;
2004;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;G;20;1201;ARICA;2;1;110;;;;;;;;
2004;36;1;ESCUELA  IGNACIO CARRERA PINTO;G;27;1201;ARICA;2;1;10;110;;;;;;;
2004;38;8;ESCUELA SOBRAYA;G;28;1201;ARICA;2;1;10;110;;;;;;;
